model,noise_sigma,denoise_method,Accuracy,F1-Score,Sensitivity,Specificity,Precision,TP,FP,FN,TN
yolov8-resnet50,5,autoencoder,0.7012,0.6807,0.733,0.6769,0.6355,129,74,47,155
yolov8-resnet18-gam,5,autoencoder,0.704,0.7161,0.7447,0.6631,0.6897,140,63,48,124
yolov8-resnet18,10,autoencoder,0.6942,0.7024,0.7706,0.6269,0.6453,131,72,39,121
yolov8-resnet50,10,autoencoder,0.7224,0.7325,0.7747,0.672,0.6946,141,62,41,127
yolov8-resnet18-gam,10,autoencoder,0.6667,0.6718,0.7005,0.6345,0.6453,131,72,56,125
yolov8-resnet18,20,autoencoder,0.6589,0.6589,0.8071,0.5567,0.5567,113,90,27,113
yolov8-resnet50,20,autoencoder,0.699,0.705,0.7157,0.6821,0.6946,141,62,56,133
yolov8-resnet18-gam,20,autoencoder,0.6995,0.6839,0.7213,0.6816,0.6502,132,71,51,152
yolov8-resnet18,30,autoencoder,0.6571,0.6411,0.7222,0.6091,0.5764,117,86,45,134
yolov8-resnet50,30,autoencoder,0.71,0.7085,0.7231,0.6976,0.6946,141,62,54,143
yolov8-resnet18-gam,30,autoencoder,0.7192,0.7235,0.7609,0.6802,0.6897,140,63,44,134
yolov8-resnet18,0,dncnn,0.7218,0.7376,0.7413,0.7,0.734,149,54,52,126
yolov8-resnet50,0,dncnn,0.7344,0.7421,0.7966,0.6771,0.6946,141,62,36,130
yolov8-resnet18-gam,0,dncnn,0.6901,0.7032,0.7121,0.6667,0.6946,141,62,57,124
yolov8-resnet18,1,dncnn,0.6642,0.6748,0.6651,0.6632,0.6847,139,64,70,126
yolov8-resnet50,1,dncnn,0.6997,0.7186,0.7333,0.6629,0.7044,143,60,52,118
yolov8-resnet18-gam,1,dncnn,0.694,0.6906,0.7862,0.6232,0.6158,125,78,34,129
yolov8-resnet18,5,dncnn,0.7062,0.7077,0.738,0.6766,0.6798,138,65,49,136
yolov8-resnet50,5,dncnn,0.6065,0.6218,0.6557,0.5585,0.5911,120,83,63,105
yolov8-resnet18-gam,5,dncnn,0.6878,0.6911,0.7374,0.6432,0.6502,132,71,47,128
yolov8-resnet18,10,dncnn,0.6577,0.6618,0.6493,0.6667,0.6749,137,66,74,132
yolov8-resnet50,10,dncnn,0.7263,0.7374,0.7565,0.6952,0.7192,146,57,47,130
yolov8-resnet18-gam,10,dncnn,0.6856,0.7053,0.6919,0.678,0.7192,146,57,65,120
yolov8-resnet18,20,dncnn,0.6938,0.69,0.7005,0.6875,0.6798,138,65,59,143
yolov8-resnet50,20,dncnn,0.6862,0.6805,0.7198,0.6571,0.6453,131,72,51,138
yolov8-resnet18-gam,20,dncnn,0.7043,0.7179,0.7487,0.6595,0.6897,140,63,47,122
yolov8-resnet18,30,dncnn,0.6923,0.6872,0.7935,0.6172,0.6059,123,80,32,129
yolov8-resnet50,30,dncnn,0.7074,0.7179,0.7487,0.6667,0.6897,140,63,47,126
yolov8-resnet18-gam,30,dncnn,0.6896,0.6755,0.7341,0.6545,0.6256,127,76,46,144
yolov8-resnet18,0,cae_pso,0.7277,0.7305,0.7474,0.7085,0.7143,145,58,49,141
yolov8-resnet50,0,cae_pso,0.6983,0.6967,0.7092,0.6878,0.6847,139,64,57,141
yolov8-resnet18-gam,0,cae_pso,0.6877,0.6931,0.6965,0.6786,0.6897,140,63,61,133
yolov8-resnet18,1,cae_pso,0.6387,0.6368,0.6836,0.6,0.5961,121,82,56,123
yolov8-resnet50,1,cae_pso,0.687,0.6902,0.7062,0.6683,0.6749,137,66,57,133
yolov8-resnet18-gam,1,cae_pso,0.6997,0.6889,0.7898,0.6343,0.6108,124,79,33,137
yolov8-resnet18,5,cae_pso,0.6997,0.703,0.7866,0.6281,0.6355,129,74,35,125
yolov8-resnet50,5,cae_pso,0.7193,0.7287,0.7663,0.6737,0.6946,141,62,43,128
yolov8-resnet18-gam,5,cae_pso,0.6762,0.6788,0.7158,0.64,0.6453,131,72,52,128
yolov8-resnet18,10,cae_pso,0.6987,0.7034,0.7528,0.6497,0.6601,134,69,44,128
yolov8-resnet50,10,cae_pso,0.7282,0.7143,0.7407,0.7175,0.6897,140,63,49,160
yolov8-resnet18-gam,10,cae_pso,0.7408,0.7429,0.7857,0.7,0.7044,143,60,39,140
yolov8-resnet18,20,cae_pso,0.6959,0.7005,0.7225,0.6701,0.6798,138,65,53,132
yolov8-resnet50,20,cae_pso,0.6725,0.6845,0.6746,0.6702,0.6946,141,62,68,126
yolov8-resnet18-gam,20,cae_pso,0.7261,0.7178,0.8086,0.6636,0.6453,131,72,31,142
yolov8-resnet18,30,cae_pso,0.6982,0.6878,0.7429,0.662,0.6404,130,73,45,143
yolov8-resnet50,30,cae_pso,0.6562,0.6432,0.6564,0.656,0.6305,128,75,67,143
yolov8-resnet18-gam,30,cae_pso,0.6822,0.672,0.7326,0.6419,0.6207,126,77,46,138
yolov8m,0,noisy,0.7738,0.7909,0.8093,0.7341,0.7734,157,46,37,127
yolov9m,0,noisy,0.7812,0.7902,0.7826,0.7796,0.798,162,41,45,145
yolov10m,0,noisy,0.7474,0.767,0.756,0.7368,0.7783,158,45,51,126
yolo11m,0,noisy,0.7593,0.7753,0.7772,0.7386,0.7734,157,46,45,130
yolo12m,0,noisy,0.7649,0.7852,0.7871,0.7381,0.7833,159,44,43,124
yolov8m,1,noisy,0.792,0.8098,0.8019,0.7798,0.8177,166,37,41,131
yolov9m,1,noisy,0.7717,0.7862,0.7843,0.7571,0.7882,160,43,44,134
yolov10m,1,noisy,0.7234,0.7212,0.75,0.699,0.6946,141,62,47,144
yolo11m,1,noisy,0.8,0.8146,0.8068,0.7919,0.8227,167,36,40,137
yolo12m,1,noisy,0.7967,0.8062,0.8478,0.7459,0.7685,156,47,28,138
