dataset,sigma,method,image,rho_1,rho_ratio_1,rho_phase_1,E_band1_clean,rho_2,rho_ratio_2,rho_phase_2,E_band2_clean,rho_3,rho_ratio_3,rho_phase_3,E_band3_clean,rho_4,rho_ratio_4,rho_phase_4,E_band4_clean
INRIA,1,bm3d,crop001007_jpg.rf.3856bb1a7d1ebb6b977ad7639d38f3d5.jpg,0.9999774765209131,0.9999774765209131,0.9988129749307315,3.2023259386018484e+16,0.9993226744917111,0.9993226744917111,0.971227182539593,139936952530946.72,0.9986108138265822,0.9986108138265822,0.9406852212824846,41474661894916.76,0.999961687178976,0.999961687178976,0.8637435683730151,13147743978781.502
INRIA,1,gaussian_filter,crop001007_jpg.rf.3856bb1a7d1ebb6b977ad7639d38f3d5.jpg,0.9970216580782923,0.9970216580782923,0.9862877137031025,3.2023259386018484e+16,0.33037254754691414,0.33037254754691414,0.5380444164801463,139936952530946.72,0.05373705962339004,0.053737059623390024,0.18410103783394893,41474661894916.76,0.040894766853786235,0.04089476685378628,0.051979898774581534,13147743978781.502
INRIA,1,autoencoder,crop001007_jpg.rf.3856bb1a7d1ebb6b977ad7639d38f3d5.jpg,0.9007515904370211,0.9007515904370211,0.6909238284838355,3.2023259386018484e+16,0.9508059849682843,0.9508059849682843,0.4087143676917605,139936952530946.72,0.3596564439933728,0.3596564439933729,0.026115742448488577,41474661894916.76,0.4544324089314431,0.45443240893144315,-0.15415507665937378,13147743978781.502
INRIA,1,dncnn,crop001007_jpg.rf.3856bb1a7d1ebb6b977ad7639d38f3d5.jpg,0.9069532635057662,0.9069532635057662,0.6911590424585923,3.2023259386018484e+16,0.9331151680080599,1.0668848319919402,0.5374170639826783,139936952530946.72,0.882707912531851,1.1172920874681491,0.46731360453841697,41474661894916.76,0.669407873373179,1.330592126626821,0.24251304270023943,13147743978781.502
INRIA,1,cae_pso,crop001007_jpg.rf.3856bb1a7d1ebb6b977ad7639d38f3d5.jpg,0.8823131866496433,0.8823131866496433,0.6907069661518632,3.2023259386018484e+16,0.9793075206816069,0.9793075206816069,0.46529362494784765,139936952530946.72,0.383174592978226,0.38317459297822604,0.06309037715962629,41474661894916.76,0.4886948389737774,0.48869483897377736,-0.14436269809904378,13147743978781.502
INRIA,1,bm3d,crop001032_jpg.rf.4818cd42da6cfe1444e29248b5a98364.jpg,0.9999007114484989,0.9999007114484989,0.997520041503174,5571399006418853.0,0.9986936825958039,0.9986936825958039,0.9508801490234942,37011830620999.47,0.9959275053175137,0.9959275053175137,0.9088530911844637,12387710306290.688,0.9938187921770864,0.9938187921770864,0.7978383845461083,3599171665697.194
INRIA,1,gaussian_filter,crop001032_jpg.rf.4818cd42da6cfe1444e29248b5a98364.jpg,0.9953114414840439,0.9953114414840439,0.9833278439435723,5571399006418853.0,0.3617889962414341,0.36178899624143424,0.5493737553981315,37011830620999.47,0.10114381767449565,0.1011438176744956,0.20905764416598394,12387710306290.688,0.1586525392479461,0.15865253924794612,0.11240823844355974,3599171665697.194
INRIA,1,autoencoder,crop001032_jpg.rf.4818cd42da6cfe1444e29248b5a98364.jpg,0.9866340608289829,0.9866340608289829,0.9768837862020676,5571399006418853.0,0.8406434836248347,0.8406434836248347,0.5763751483504389,37011830620999.47,0.18812540292899205,0.18812540292899205,0.09854883334741005,12387710306290.688,0.24021872183570514,0.24021872183570522,0.048730854216688324,3599171665697.194
INRIA,1,dncnn,crop001032_jpg.rf.4818cd42da6cfe1444e29248b5a98364.jpg,0.9910782286591676,1.0089217713408325,0.9941945280037946,5571399006418853.0,0.9997466484301355,0.9997466484301355,0.9644890363616592,37011830620999.47,0.9955609751318886,1.0044390248681114,0.9210654113893624,12387710306290.688,0.9527097194997182,1.0472902805002817,0.7793738538019697,3599171665697.194
INRIA,1,cae_pso,crop001032_jpg.rf.4818cd42da6cfe1444e29248b5a98364.jpg,0.9920935060088467,1.0079064939911533,0.9727886104267648,5571399006418853.0,0.9399301463751157,0.9399301463751157,0.669149968350935,37011830620999.47,0.27591599654759036,0.2759159965475903,0.13213617623098706,12387710306290.688,0.30272541513926154,0.30272541513926154,0.034023373955701985,3599171665697.194
INRIA,1,bm3d,crop001034_jpg.rf.4ac91acc422d3e20875e40e5cb883a8a.jpg,0.9999859770693764,0.9999859770693764,0.9984467126930774,1.2418799356141324e+16,0.9994328298786047,0.9994328298786047,0.9657676763648839,76443591379037.16,0.999194839069522,1.000805160930478,0.8951894906245574,12958425483849.412,0.9449866691284731,1.0550133308715268,0.6561780635127161,2268091155798.5327
INRIA,1,gaussian_filter,crop001034_jpg.rf.4ac91acc422d3e20875e40e5cb883a8a.jpg,0.9971778181410593,0.9971778181410593,0.9855319815815413,1.2418799356141324e+16,0.32524253392919333,0.32524253392919333,0.5378500501909337,76443591379037.16,0.052991213166134754,0.0529912131661347,0.20173647164375041,12958425483849.412,0.03790570859440745,0.037905708594407485,0.049725611786853086,2268091155798.5327
INRIA,1,autoencoder,crop001034_jpg.rf.4ac91acc422d3e20875e40e5cb883a8a.jpg,0.9945902486561093,1.0054097513438907,0.9834902010268339,1.2418799356141324e+16,0.8135844654266172,0.8135844654266172,0.54732344139008,76443591379037.16,0.16236065267653466,0.16236065267653468,-0.019637098432833122,12958425483849.412,0.18952202774008875,0.18952202774008875,-0.045578649923908365,2268091155798.5327
INRIA,1,dncnn,crop001034_jpg.rf.4ac91acc422d3e20875e40e5cb883a8a.jpg,0.993042845842688,1.006957154157312,0.9959968789435698,1.2418799356141324e+16,0.9996645050117183,1.0003354949882817,0.9765792172761693,76443591379037.16,0.9950491980646337,1.0049508019353663,0.9278935441877109,12958425483849.412,0.9323470092582229,1.067652990741777,0.7403026201285448,2268091155798.5327
INRIA,1,cae_pso,crop001034_jpg.rf.4ac91acc422d3e20875e40e5cb883a8a.jpg,0.9895758298003758,0.9895758298003758,0.9850974133231943,1.2418799356141324e+16,0.8666501474922087,0.8666501474922087,0.6811563480657963,76443591379037.16,0.21810988617708593,0.2181098861770859,0.03397927172053872,12958425483849.412,0.34389711585387794,0.34389711585387794,-0.10782295097437244,2268091155798.5327
